Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,3989.00,4010.60,3987.90,4009.90,61121
03-07-2026 09:35:00,4010.00,4022.00,4002.00,4005.70,48629
03-07-2026 09:40:00,4005.00,4010.90,3998.30,4000.50,40645
03-07-2026 09:45:00,4000.20,4005.00,3999.40,4001.10,24455
03-07-2026 09:50:00,4002.00,4015.00,4002.00,4013.00,17765
03-07-2026 09:55:00,4014.00,4019.70,4002.00,4008.70,29709
03-07-2026 10:00:00,4007.50,4019.70,4006.40,4017.00,14352
03-07-2026 10:05:00,4016.00,4017.00,4005.00,4008.80,13328
03-07-2026 10:10:00,4008.90,4018.00,4008.70,4011.80,10346
03-07-2026 10:15:00,4012.60,4018.50,4005.00,4016.50,18294
03-07-2026 10:20:00,4016.00,4017.00,4010.10,4014.00,10325
03-07-2026 10:25:00,4013.30,4014.10,4000.00,4002.90,40503
03-07-2026 10:30:00,4001.90,4004.60,3990.00,3990.50,47321
03-07-2026 10:35:00,3991.90,3994.90,3988.00,3988.00,41053
03-07-2026 10:40:00,3985.80,3992.30,3985.00,3991.90,52297
03-07-2026 10:45:00,3993.40,3999.50,3991.00,3998.50,23936
03-07-2026 10:50:00,3998.60,3999.50,3992.50,3993.70,14421
03-07-2026 10:55:00,3995.00,3999.00,3993.70,3994.30,9823
03-07-2026 11:00:00,3993.70,3997.40,3991.60,3993.60,12190
03-07-2026 11:05:00,3993.90,3994.40,3987.60,3990.20,15230
03-07-2026 11:10:00,3990.10,3992.00,3986.10,3989.60,12094
03-07-2026 11:15:00,3989.50,3991.20,3987.20,3989.50,7544
03-07-2026 11:20:00,3988.00,3989.30,3985.00,3985.30,18235
03-07-2026 11:25:00,3985.60,3988.90,3985.00,3985.10,17919
03-07-2026 11:30:00,3985.00,3988.00,3985.00,3985.20,22581
03-07-2026 11:35:00,3986.00,3989.60,3985.00,3988.00,19599
03-07-2026 11:40:00,3987.40,3995.00,3986.50,3988.30,11156
03-07-2026 11:45:00,3989.70,3994.00,3988.00,3993.30,3547
03-07-2026 11:50:00,3993.20,3997.90,3991.50,3996.70,9136
03-07-2026 11:55:00,3996.90,3999.60,3992.00,3996.00,12544
03-07-2026 12:00:00,3994.00,4001.00,3994.00,3995.10,15674
03-07-2026 12:05:00,3995.20,4000.00,3995.00,3998.30,6373
03-07-2026 12:10:00,3998.20,4000.50,3996.20,3999.70,6170
03-07-2026 12:15:00,3999.80,4000.00,3997.00,3998.90,5112
03-07-2026 12:20:00,3999.00,4000.70,3996.60,3997.00,8192
03-07-2026 12:25:00,3999.40,3999.40,3997.00,3998.00,5426
03-07-2026 12:30:00,3997.90,3999.00,3995.00,3995.00,6094
03-07-2026 12:35:00,3995.30,3997.40,3992.40,3995.30,8963
03-07-2026 12:40:00,3994.80,3997.30,3992.10,3994.10,5089
03-07-2026 12:45:00,3995.60,3998.00,3993.20,3995.80,7295
03-07-2026 12:50:00,3995.90,3997.00,3992.20,3993.40,5554
03-07-2026 12:55:00,3993.50,3996.80,3990.00,3991.70,16426
03-07-2026 13:00:00,3991.80,3994.40,3990.10,3993.20,6404
03-07-2026 13:05:00,3992.50,3993.80,3990.60,3992.70,5245
03-07-2026 13:10:00,3992.30,3995.00,3990.60,3994.90,8381
03-07-2026 13:15:00,3994.80,3994.80,3991.20,3992.70,5495
03-07-2026 13:20:00,3992.60,3995.00,3992.50,3994.50,5397
03-07-2026 13:25:00,3994.60,3995.30,3992.50,3992.90,4059
03-07-2026 13:30:00,3993.30,3996.50,3992.90,3995.20,6054
03-07-2026 13:35:00,3995.30,3998.50,3987.20,3998.20,23249
03-07-2026 13:40:00,3998.30,4001.30,3995.00,3997.70,14075
03-07-2026 13:45:00,3997.00,3997.20,3993.90,3996.00,4822
03-07-2026 13:50:00,3995.90,3997.00,3993.70,3995.50,9143
03-07-2026 13:55:00,3995.70,4000.30,3995.60,3998.20,23876
03-07-2026 14:00:00,3997.60,3998.50,3996.00,3997.30,5043
03-07-2026 14:05:00,3997.40,3999.30,3996.00,3997.50,6683
03-07-2026 14:10:00,3997.30,3999.00,3996.00,3997.70,6631
03-07-2026 14:15:00,3997.80,4003.40,3997.50,4001.00,10748
03-07-2026 14:20:00,4000.00,4002.60,3997.90,4000.30,10177
03-07-2026 14:25:00,4000.20,4003.00,3998.10,4002.80,4772
03-07-2026 14:30:00,4001.80,4003.60,4001.00,4002.60,6299
03-07-2026 14:35:00,4001.10,4003.00,3998.00,4002.20,5936
03-07-2026 14:40:00,4002.40,4002.40,3998.00,3999.70,7806
03-07-2026 14:45:00,4000.60,4001.00,3998.10,4000.60,6009
03-07-2026 14:50:00,3998.00,4001.40,3998.00,4000.00,20689
03-07-2026 14:55:00,3999.10,4001.90,3996.60,3998.00,17994
03-07-2026 15:00:00,3997.90,3999.60,3996.00,3997.00,59627
03-07-2026 15:05:00,3997.10,3998.40,3993.70,3994.90,38593
03-07-2026 15:10:00,3995.00,3995.60,3991.90,3994.80,35159
03-07-2026 15:15:00,3994.50,3995.30,3990.00,3990.00,50874
03-07-2026 15:20:00,3995.00,3995.60,3990.00,3991.10,49054
03-07-2026 15:25:00,3991.00,3992.00,3987.30,3989.00,23391
