Symbol, Date, Type of entry, Price Movement, Logic, Entry, SL, Target, Current Price Position, High Profit
VEDL , 2026-07-03 , DAY , Bearish , Wick , 280.8 , 282.8 , 278.8 , LOW , False
TECHM , 2026-07-03 , DAY , Bearish , Wick , 1421.75 , 1445.0 , 1373.4 , MID-LOW , True
TATAPOWER , 2026-07-03 , DAY , Bearish , Bearish Engulf , 377.92 , 387.05 , 374.3 , LOW , False
SIEMENS , 2026-07-03 , DAY , Bearish , Bearish Engulf , 3548.35 , 3616.5 , 3497.5 , LOW , False
SBIN , 2026-07-03 , DAY , Bearish , Bearish Engulf , 1045.75 , 1057.0 , 1034.5 , MID-HIGH , False
RECLTD , 2026-07-03 , DAY , Bearish , Bearish Engulf , 368.1 , 372.35 , 363.85 , HIGH , False
POWERGRID , 2026-07-03 , DAY , Bearish , Wick , 289.55 , 292.0 , 284.2 , MID-LOW , True
PNB , 2026-07-03 , DAY , Bullish , Wick , 105.56 , 104.11 , 107.01 , LOW , False
NHPC , 2026-07-03 , DAY , Bearish , Wick , 81.45 , 82.5 , 79.25 , HIGH , True
MOTHERSON , 2026-07-03 , DAY , Bearish , Bearish Engulf , 147.88 , 149.73 , 146.02 , MID-LOW , False
MARICO , 2026-07-03 , DAY , Bearish , Bearish Engulf , 854.05 , 873.0 , 835.1 , MID-HIGH , False
MANKIND , 2026-07-03 , DAY , Bullish , Bullish Tweezer , 2511.6 , 2480.2 , 2543.0 , MID-HIGH , False
M&M missing data
LICHSGFIN , 2026-07-03 , DAY , Bearish , Wick , 558.4 , 568.5 , 547.05 , MID-LOW , False
JIOFIN , 2026-07-03 , DAY , Bearish , Bearish Engulf , 240.53 , 242.2 , 238.86 , MID-HIGH , False
JINDALSTEL , 2026-07-03 , DAY , Bearish , Wick , 1062.4 , 1073.8 , 1051.0 , LOW , False
ICICIPRULI , 2026-07-03 , DAY , Bearish , Bearish Engulf , 492.07 , 500.45 , 483.7 , MID-LOW , False
HINDALCO , 2026-07-03 , DAY , Bearish , Wick , 964.97 , 978.9 , 951.05 , LOW , False
HEROMOTOCO , 2026-07-03 , DAY , Bearish , Bearish Engulf , 4870.15 , 4913.8 , 4826.5 , MID-LOW , False
HAL , 2026-07-03 , DAY , Bearish , Wick , 4461.85 , 4502.4 , 4382.0 , MID-HIGH , True
GRASIM , 2026-07-03 , DAY , Bearish , Wick , 3192.15 , 3219.3 , 3165.0 , HIGH , False
GODREJCP , 2026-07-03 , DAY , Bearish , Wick , 1084.8 , 1098.5 , 1043.0 , HIGH , True
GAIL , 2026-07-03 , DAY , Bearish , Wick , 174.79 , 175.89 , 172.21 , MID-HIGH , True
ETERNAL , 2026-07-03 , DAY , Bearish , Wick , 283.73 , 287.8 , 278.6 , HIGH , False
DABUR , 2026-07-03 , DAY , Bearish , Bearish Engulf , 446.12 , 451.0 , 442.15 , HIGH , False
CUMMINSIND , 2026-07-03 , DAY , Bearish , Bearish Engulf , 5572.25 , 5690.0 , 5454.5 , LOW-OUT , False
CIPLA , 2026-07-03 , DAY , Bearish , Wick , 1461.5 , 1471.0 , 1452.0 , HIGH , False
CANBK , 2026-07-03 , DAY , Bullish , Wick , 126.45 , 124.7 , 129.26 , LOW , True
BEL , 2026-07-03 , DAY , Bearish , Wick , 420.8 , 424.5 , 417.1 , MID-LOW , False
BAJAJHLDNG , 2026-07-03 , DAY , Bearish , Wick , 11069.5 , 11218.0 , 10921.0 , HIGH-OUT , False
ASIANPAINT , 2026-07-03 , DAY , Bearish , Bearish Tweezer , 2746.2 , 2762.4 , 2711.0 , MID-HIGH , True
ADANIENT , 2026-07-03 , DAY , Bullish , Wick , 3164.75 , 3105.5 , 3229.6 , HIGH , False
NIFTYBANK , 2026-07-03 , DAY , Bearish , Bearish Engulf , 58071.15 , 58396.1 , 57799.05 , MID-HIGH , False
NIFTYNXT50 , 2026-07-03 , DAY , Bearish , Bearish Engulf , 72435.9 , 72701.9 , 72169.9 , HIGH , False
